epoch,duration_accuracy,duration_loss,loss,pitch_accuracy,pitch_loss,velocity_accuracy,velocity_loss
0,0.61764115,1.3771576,7.366853463917255,0.07859381,4.225183,0.43885234,1.7642844
1,0.64662117,1.1124092,6.2802140006012275,0.10756351,3.7653387,0.5359394,1.4027157
2,0.6639412,1.0529069,5.914520742543076,0.122645244,3.5896733,0.57019365,1.2722826
3,0.6766097,1.0072558,5.656928488263103,0.1362502,3.4485016,0.5882032,1.2008907
4,0.6877756,0.97089297,5.4532680567662295,0.14852244,3.331411,0.5998992,1.151115
5,0.69498974,0.93621284,5.250780750453694,0.16403641,3.2090325,0.61423993,1.1054171
6,0.7040254,0.90272075,5.061686303624759,0.17855214,3.0933492,0.6261931,1.0655676
7,0.7142497,0.8714997,4.8879485067669375,0.19198728,2.9900427,0.6386043,1.0264527
8,0.723733,0.8378502,4.71868674868122,0.20759901,2.891273,0.6493792,0.9895552
9,0.734441,0.80588955,4.559046109594295,0.22170824,2.7975478,0.659516,0.9555385
10,0.74257106,0.7770318,4.417838054810352,0.2367591,2.7159069,0.6702806,0.92466205
11,0.7510973,0.7498396,4.282498208748767,0.24958706,2.6384926,0.6795581,0.89417315
12,0.7563046,0.72592396,4.1654326330321725,0.26308396,2.5697162,0.68885106,0.86962473
13,0.7632563,0.7044164,4.053861767027688,0.27534077,2.5037756,0.6967495,0.8454442
14,0.76906055,0.6846552,3.954126900947575,0.28705728,2.4448903,0.7028985,0.8248505
15,0.7750243,0.663925,3.853102524163351,0.2990774,2.3861396,0.7106375,0.8030348
16,0.77941865,0.64857703,3.7663475752849687,0.31159148,2.3335094,0.7168019,0.7846895
17,0.78520745,0.6293757,3.6814254598686107,0.3222017,2.2863555,0.7227245,0.7661514
18,0.7890152,0.61621296,3.612433173288042,0.33013105,2.241801,0.72658366,0.7547432
19,0.7930288,0.6016848,3.5430035625242944,0.34076187,2.2015867,0.73191965,0.73980886
20,0.79673356,0.58930975,3.4725482849163964,0.35095528,2.159285,0.7366022,0.7242798
21,0.8012,0.5761237,3.4137919984281018,0.36116928,2.1217396,0.74049735,0.71603477
22,0.80459607,0.56545156,3.3509189285703167,0.3691501,2.0850515,0.74644566,0.7006552
23,0.80737466,0.55622184,3.29725316340026,0.37723383,2.0501962,0.7488281,0.69078153
24,0.81102806,0.54530567,3.246048673578019,0.38396427,2.0213435,0.7516993,0.67965096
25,0.8136986,0.53668797,3.2004774891318855,0.39239275,1.9914029,0.75526524,0.67246485
26,0.8161222,0.52816933,3.159712041091913,0.3991129,1.967582,0.75760645,0.66406
27,0.81974983,0.5199107,3.1135578420262173,0.40547284,1.9386868,0.7613525,0.655409
28,0.8215611,0.5118453,3.0678790959927604,0.41401455,1.9082388,0.76340556,0.6482601
29,0.82315105,0.50470537,3.0259802875918935,0.41970557,1.8833127,0.7673111,0.63786924
30,0.8243963,0.49863702,2.9900512439597193,0.42571047,1.8612874,0.7702132,0.63019836
