epoch,duration_accuracy,duration_loss,loss,pitch_accuracy,pitch_loss,velocity_accuracy,velocity_loss
0,0.6775719,1.2233142,6.472903917427853,0.11529219,3.8890345,0.5646673,1.3603497
1,0.71124464,0.9563465,5.369121300249214,0.18602353,3.2576864,0.61226916,1.1549948
2,0.73711157,0.8648578,4.863433829558163,0.2541975,2.9293554,0.6395923,1.069114
3,0.75413835,0.78955907,4.423209992817126,0.31373206,2.6536121,0.6678107,0.98000383
4,0.7712629,0.7185372,4.008582067654261,0.37277776,2.3918686,0.6935901,0.89841855
5,0.7903633,0.6495827,3.61014306006506,0.4302386,2.141305,0.71966803,0.81933844
6,0.8078429,0.58474797,3.2302975647584726,0.48723635,1.9001884,0.74240124,0.74572176
7,0.8264391,0.5246684,2.8916686810515313,0.5392223,1.6880667,0.76481545,0.6791964
8,0.8404814,0.47623238,2.613399616160211,0.5818638,1.5139464,0.7844099,0.6237798
9,0.8542253,0.43078402,2.340000085677927,0.6240217,1.3409531,0.80219305,0.56847256
10,0.86567426,0.3927292,2.124807038050714,0.6551474,1.2092294,0.8185921,0.5226186
11,0.8762793,0.35912183,1.9385429846444313,0.68316,1.0983493,0.83140457,0.4810379
12,0.883725,0.33646935,1.804806123872758,0.704082,1.0113739,0.8401161,0.45756245
13,0.89099574,0.3114127,1.6656766994980152,0.72566265,0.9284349,0.84960973,0.42638642
14,0.9014773,0.2827474,1.502787570731661,0.75113845,0.8313022,0.86275154,0.3890269
15,0.9039163,0.27360168,1.4353075038286243,0.7620831,0.78814507,0.86766046,0.3736989
16,0.9066589,0.2648693,1.3975075636642142,0.7671104,0.7661172,0.87056774,0.36672032
17,0.91020423,0.25362518,1.325135888062503,0.7800001,0.7223337,0.8773393,0.34909236
18,0.91931707,0.22699796,1.175579308372871,0.80413294,0.63469106,0.88889116,0.31390724
19,0.9213547,0.22206703,1.1452832557160353,0.8089338,0.6163765,0.8908517,0.30713195
20,0.9180873,0.2297038,1.1776338582148287,0.80147266,0.6373019,0.88968873,0.31072828
21,0.926135,0.207151,1.0563108839321254,0.8241596,0.5653505,0.89843625,0.2841605
22,0.93031836,0.19761243,1.0069724371118447,0.8315024,0.53779525,0.904117,0.27209362
23,0.92632025,0.20772584,1.0654803530238905,0.8211906,0.5702512,0.89808637,0.2878111
24,0.93489796,0.1827973,0.9241145766455348,0.8446854,0.4897228,0.9109967,0.2517068
25,0.9346921,0.18331458,0.9185908071969301,0.84646577,0.4842315,0.91089374,0.2512265
26,0.9363387,0.17848861,0.9121789157327107,0.84701633,0.48341012,0.9109606,0.25110203
27,0.93722373,0.1765217,0.8776237468418032,0.8538703,0.4619389,0.9153241,0.23946507
28,0.93824255,0.17294572,0.8576177661819995,0.8563865,0.45078394,0.91773224,0.234082
29,0.9409903,0.1657822,0.8275371240108762,0.86147547,0.434805,0.919137,0.2271147
30,0.9442012,0.15686968,0.7843165168881648,0.8682882,0.40983826,0.9233409,0.21765311
31,0.9434087,0.15914938,0.7976678853693988,0.86733115,0.41748184,0.921895,0.22126162
32,0.94681513,0.15013793,0.7432595489728578,0.8766961,0.3867853,0.9275603,0.20677224
33,0.94682026,0.14958899,0.7371003499717023,0.87710774,0.3829271,0.9270715,0.20470224
34,0.9496812,0.14298874,0.6999518262560422,0.88379705,0.36254436,0.93202156,0.19446416
35,0.9485389,0.1446835,0.7205281619481767,0.8794439,0.37870586,0.93011254,0.19724262
36,0.94985104,0.14186475,0.6910802708853484,0.8850629,0.35773948,0.9330661,0.19172864
37,0.9533603,0.13251758,0.6458248157877506,0.8929253,0.33430135,0.9367452,0.1793284
38,0.95072067,0.14089301,0.7036337447595457,0.8823717,0.37179527,0.93323076,0.19102255
39,0.9571578,0.12098118,0.5865340594989793,0.90268654,0.3010977,0.9425494,0.16477874
40,0.9526245,0.13535558,0.6655232613693269,0.8895704,0.34941143,0.93646735,0.18085478
41,0.9571218,0.120138176,0.5924429543952271,0.9014876,0.30743933,0.9421738,0.16535789
42,0.94569856,0.1564977,0.7850311154460843,0.8689674,0.41966692,0.92801315,0.20918965
43,0.9505148,0.13858165,0.6945256762485538,0.880756,0.37310103,0.9355257,0.18295664
44,0.9552848,0.124457225,0.616788697571766,0.89460796,0.32682422,0.94143796,0.16586755
45,0.9580891,0.11803506,0.5712211362504946,0.9051564,0.2947145,0.9447312,0.15862547
46,0.9568645,0.12219363,0.6051326551078464,0.8984105,0.31563777,0.941474,0.16775586
47,0.9575643,0.11898248,0.5873313741159967,0.90253216,0.30324847,0.9429045,0.16524106
48,0.96150064,0.109937504,0.537347607255585,0.91121274,0.27665338,0.9470415,0.15086536
49,0.9600239,0.11341706,0.5511301159070481,0.9084959,0.28539243,0.94677395,0.15255803
50,0.9590205,0.11684506,0.5747183228774946,0.90446687,0.2969281,0.94374835,0.16109894
51,0.9557427,0.12722117,0.62359922876468,0.8959252,0.32769752,0.9410469,0.16878085
52,0.96372354,0.10490314,0.5063802386090084,0.9170685,0.2598231,0.95049936,0.1416717
53,0.9625349,0.106603645,0.5212863515772378,0.913518,0.26969972,0.9488785,0.14499222
